ID,X,Y,ELEV,DESC
316,328218.5988,2074803.775,552.4,
317,328216.401,2074799.247,553,
318,328214.9367,2074795.477,553.5,
319,328213.4745,2074791.709,554,
320,328211.2822,2074787.195,554.7,
321,328210.5518,2074783.433,555,
322,328209.095,2074779.675,555.6,
323,328208.3763,2074775.917,556.1,
324,328207.6944,2074770.654,556.8,
325,328206.3014,2074766.146,557.5,
326,328205.6575,2074759.392,558.3,
327,328205.6965,2074754.894,558.7,
328,328205.6849,2074751.9,559,
329,328204.9691,2074745.918,559.2,
330,328204.9749,2074742.178,559.2,
331,328204.2449,2074735.457,559.3,
332,328204.2044,2074731.721,559.3,
333,328204.1755,2074726.491,559.3,
334,328204.1503,2074722.008,559.3,
335,328204.0962,2074716.778,559,
336,328203.8373,2074708.539,558.2,
337,328203.7176,2074704.789,557.8,
338,328203.5978,2074701.035,557.5,
339,328203.5081,2074698.032,557.2,
340,328203.3842,2074692.777,556.7,
341,328203.2427,2074686.768,556.2,
342,328203.1371,2074682.258,556.1,
343,328205.1785,2074673.954,555.5,
344,328205.8415,2074669.433,555.3,
345,328205.8072,2074667.178,555.2,
346,328207.9345,2074662.625,554.7,
347,328207.8775,2074658.117,554.6,
348,328207.8436,2074655.112,554.6,
349,328208.5203,2074650.587,554.4,
350,328209.2139,2074647.564,554.3,
351,328210.6111,2074642.266,554.1,
352,328211.3296,2074637.007,553.9,
353,328212.7818,2074631.731,553.7,
354,328214.2356,2074627.203,553.5,
355,328215.6952,2074621.93,553.9,
356,328217.2147,2074615.944,554.4,
357,328220.2765,2074610.715,554.6,
358,328223.3182,2074603.987,555.1,
359,328225.6634,2074598.805,555.6,
360,328227.2759,2074595.143,556.1,
361,328228.8645,2074592.213,556.7,
362,328229.7253,2074588.571,557.5,
363,328232.0792,2074584.912,558.3,
364,328232.8954,2074582.732,558.8,
365,328235.2962,2074577.644,559.9,
366,328237.6471,2074574.006,560.7,
367,328241.5722,2074567.477,562.1,
368,328243.1606,2074561.645,562.7,
369,328245.4247,2074556.48,562.9,
370,328246.8913,2074554.96,562.8,
371,328248.3528,2074551.96,562.9,
372,328249.8081,2074547.481,563,
373,328252.0013,2074542.98,563,
374,328254.9227,2074536.24,563,
375,328256.3776,2074531.022,562.9,
376,328257.1079,2074528.784,562.8,
377,328258.5657,2074525.042,562.6,
378,328262.2293,2074518.282,562.1,
379,328262.9596,2074516.044,562,
380,328265.1592,2074511.549,561.8,
381,328267.365,2074508.53,561.6,
382,328268.0978,2074507.029,561.6,
383,328270.2895,2074501.787,561.5,
384,328272.4873,2074498.017,561.4,
385,328273.2123,2074495.77,561.4,
386,328276.1298,2074491.944,561.3,
387,328277.5862,2074489.658,561.2,
388,328280.5011,2074485.084,561,
