ID,X(LocalCRS),Y(LocalCRS),ELEV,DESC,X(UTM43N),Y(UTM43N)
260,227.4427,589.838,545.3,,328287.4427,2074889.838
261,229.7357,592.102,545.2,,328289.7357,2074892.102
262,232.0287,594.365,545.1,,328292.0287,2074894.365
263,235.0819,596.625,545,,328295.0819,2074896.625
264,237.377,598.89,544.9,,328297.377,2074898.89
265,241.2012,602.666,544.8,,328301.2012,2074902.666
266,243.4915,604.172,544.7,,328303.4915,2074904.172
267,246.5545,607.959,544.3,,328306.5545,2074907.959
268,249.6047,610.234,544.1,,328309.6047,2074910.234
269,252.6493,610.981,543.9,,328312.6493,2074910.981
270,254.9327,611.732,543.8,,328314.9327,2074911.732
271,260.2477,612.491,543.6,,328320.2477,2074912.491
272,261.7557,612.507,543.5,,328321.7557,2074912.507
273,267.0462,612.551,543.2,,328327.0462,2074912.551
274,270.074,611.799,542.9,,328330.074,2074911.799
275,272.3411,609.504,542.8,,328332.3411,2074909.504
276,274.6083,607.21,542.7,,328334.6083,2074907.21
277,275.3636,606.447,542.7,,328335.3636,2074906.447
278,278.3668,602.656,542.6,,328338.3668,2074902.656
279,281.3766,600.402,542.3,,328341.3766,2074900.402
280,285.1339,596.626,542.1,,328345.1339,2074896.626
281,287.3893,592.814,541.9,,328347.3893,2074892.814
282,288.131,589.756,541.9,,328348.131,2074889.756
283,288.1136,586.7,542,,328348.1136,2074886.7
284,288.0751,582.139,542.1,,328348.0751,2074882.139
285,288.0456,578.333,542.2,,328348.0456,2074878.333
286,286.5057,575.284,542.4,,328346.5057,2074875.284
287,284.2232,574.52,542.6,,328344.2232,2074874.52
288,281.1767,572.993,542.9,,328341.1767,2074872.993
289,277.3852,572.22,543.1,,328337.3852,2074872.22
290,269.0183,570.725,543.7,,328329.0183,2074870.725
291,265.9705,569.982,543.9,,328325.9705,2074869.982
292,262.1636,569.244,544.1,,328322.1636,2074869.244
293,255.302,567.009,544.3,,328315.302,2074867.009
294,249.9698,565.524,544.5,,328309.9698,2074865.524
295,245.4079,564.79,544.6,,328305.4079,2074864.79
296,240.837,563.302,544.8,,328300.837,2074863.302
297,235.4921,560.306,545,,328295.4921,2074860.306
298,227.8739,557.324,545.2,,328287.8739,2074857.324
299,221.7751,554.334,545.5,,328281.7751,2074854.334
300,217.9708,552.841,545.6,,328277.9708,2074852.841
301,211.1122,549.099,545.8,,328271.1122,2074849.099
302,205.7604,545.356,546,,328265.7604,2074845.356
